Id;Kingdom;Phylum;Class;Order;Family;Genus;Species;Subspecies;Scientific Name;Author;Rank;Listing;Party;Listed under
6353;Animalia;Chordata;Mammalia;Carnivora;Felidae;Panthera;leo;;Panthera leo;(Linnaeus, 1758);SPECIES;II;;Felidae spp.
12268;Animalia;Chordata;Mammalia;Carnivora;Felidae;Panthera;leo;persica;Panthera leo persica;Meyer, 1826;SUBSPECIES;I;;Panthera leo persica
6385;Animalia;Chordata;Mammalia;Carnivora;Felidae;Panthera;onca;;Panthera onca;(Linnaeus, 1758);SPECIES;I;;Panthera onca
8619;Animalia;Chordata;Mammalia;Carnivora;Felidae;Panthera;pardus;;Panthera pardus;(Linnaeus, 1758);SPECIES;I;;Panthera pardus
6047;Animalia;Chordata;Mammalia;Carnivora;Felidae;Panthera;tigris;;Panthera tigris;(Linnaeus, 1758);SPECIES;I;;Panthera tigris
7454;Animalia;Chordata;Mammalia;Carnivora;Felidae;Pardofelis;marmorata;;Pardofelis marmorata;(Martin, 1837);SPECIES;I;;Pardofelis marmorata
10598;Animalia;Chordata;Mammalia;Carnivora;Felidae;Prionailurus;bengalensis;;Prionailurus bengalensis;(Kerr, 1792);SPECIES;II;;Felidae spp.
12271;Animalia;Chordata;Mammalia;Carnivora;Felidae;Prionailurus;bengalensis;bengalensis;Prionailurus bengalensis bengalensis;(Kerr, 1792);SUBSPECIES;I/II;;Prionailurus bengalensis bengalensis
5764;Animalia;Chordata;Mammalia;Carnivora;Felidae;Prionailurus;iriomotensis;;Prionailurus iriomotensis;Imaizumi, 1967;SPECIES;II;;Felidae spp.
9833;Animalia;Chordata;Mammalia;Carnivora;Felidae;Prionailurus;planiceps;;Prionailurus planiceps;(Vigors & Horsfield , 1827);SPECIES;I;;Prionailurus planiceps
9151;Animalia;Chordata;Mammalia;Carnivora;Felidae;Prionailurus;rubiginosus;;Prionailurus rubiginosus;(I. Geoffroy Saint-Hilaire, 1831);SPECIES;I/II;;Prionailurus rubiginosus
8400;Animalia;Chordata;Mammalia;Carnivora;Felidae;Prionailurus;viverrinus;;Prionailurus viverrinus;(Bennett, 1833);SPECIES;II;;Felidae spp.
5607;Animalia;Chordata;Mammalia;Carnivora;Felidae;Profelis;aurata;;Profelis aurata;(Temminck, 1827);SPECIES;II;;Felidae spp.
6330;Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;concolor;;Puma concolor;(Linnaeus, 1771);SPECIES;II;;Felidae spp.
12189;Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;concolor;coryi;Puma concolor coryi;(Bangs, 1899);SUBSPECIES;I;;Puma concolor coryi
12230;Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;concolor;costaricensis;Puma concolor costaricensis;(Merriam, 1901);SUBSPECIES;I;;Puma concolor costaricensis
12325;Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;concolor;couguar;Puma concolor couguar;(Kerr, 1792);SUBSPECIES;I;;Puma concolor couguar
9682;Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;yagouaroundi;;Puma yagouaroundi;(É. Geoffroy Saint-Hilaire, 1803);SPECIES;I/II;;Puma yagouaroundi
10828;Animalia;Chordata;Mammalia;Carnivora;Felidae;Uncia;uncia;;Uncia uncia;(Schreber, 1775);SPECIES;I;;Uncia uncia
10277;Animalia;Chordata;Mammalia;Carnivora;Herpestidae;Herpestes;edwardsi;;Herpestes edwardsi;(E. Geoffroy Saint-Hilaire, 1818);SPECIES;III;IN,PK;Herpestes edwardsi
